NlmUniqueID	PMID
0001027	161
0004041	627
0004047	34
0004653	189
0004743	37
0005331	326
0005735	183
0006252	132
0006440	277
0006723	269
0006761	302
0006777	275
0007275	4
0010333	129
0010505	538
0012445	3
0012737	362
0013103	1
0013243	255
0013255	143
0013576	1
0014030	395
0014032	1
00140360R	30
0014052	454
0014060	3
0014067	130
0014133	209
0014162	20
0014171	140
0014207	38
0014210	2
0020713	289
0021406	46
0022370	32
0022623	267
0023525	41
0024046	56
0027707	139
0031164	823
0033370	104
0033401	3
0034351	162
0034461	76
0035623	99
0035665	102
0042005	565
0042033	53
0042124	500
0042510	4
0042715	7
0043125	1724
0043175	116
0043264	1
0043306	91
0043312	286
0043533	46
0043535	146
0043541	294
0043545	21
0043617	41
0043764	45
0044652	99
0044671	31
0045130	15
0045170	2
0045233	308
0045312	193
0045332	5
0045335	19
0045377	97
0045503	353
0045715	11
0046021	320
0046052	74
0047061	355
0047103	310
0047670	2
0047757	1
0050006	16
0050202	7
0050222	614
0050303	50
0050452	211
0050734	33
0051012	50
0052457	386
0052631	488
0053006	146
0053252	42
0053303	2
0054655	62
0055030	1
0055107	118
0055201	2
0055203	8
0056471	480
0057202	165
0057764	1
0060105	215
0060450	47
0062647	114
0064145	15
0064302	5
0064717	2
0064757	152
0065217	1
0065324	142
0065371	1
0065750	29
0066127	87
0066560	11
0066751	110
0067206	84
0067335	31
0067662	181
0070014	98
0070454	2
0072416	218
0073210	33
0073267	77
0074243	95
0075674	493
0077340	196
0077427	363
0100626	23
0100714	527
0100725	294
0100762	28
0101032	425
0101102	1
0101123	33
0101265	90
0102444	98
0103130	38
0103146	63
0103314	100
0103374	59
0105072	1233
0105454	83
0107305	98
0110513	53
0110672	32
0110674	191
0111052	178
0111356	123
0112037	82
0112040	144
0112725	74
0113724	616
0114365	35
0116711	223
0116717	17
0116744	57
0117147	11
0117263	44
0117605	28
0117710	1
0120133	30
0120300	321
0120775	8
0121020	1
01210290R	3
0121103	1333
0123003	2
0123326	135
0123703	81
0125444	206
0126611	94
0131463	10
0132144	472
0133660	163
0134516	6
0135043	123
0135054	93
0135232	321
0135751	7
0136414	1
0136553	86
0137162	204
0137356	136
0137736	265
0140524	1
0140672	3
0140673	76
0141053	105
0141233	18
0141730	333
0141747	59
0142167	82
0142214	33
0142657	225
0144032	11
0144042	120
0144554	29
0144731	33
0145600	264
0147110	21
0147371	29
0147621	1429
0147763	736
0150372	268
0150472	103
0150760	66
0151000	437
01510020R	47
0151115	110
0151434	312
0151504	315
0151620	12
0152016	75
0153605	197
0153611	158
0154720	152
0155112	19
0155157	231
0157312	35
0157313	389
0157375	568
0163114	60
0164074	219
0165035	114
0165053	178
0165543	43
0166161	230
0171671	200
0171675	6
0173225	119
0173320	173
0173343	1
0174752	39
0174763	100
0175411	168
0177346	84
0177625	184
0177722	102
0200114	1
0200525	10
0200547	32
0201543	42
0202503	34
0203706	147
0203727	70
0204271	206
0204522	86
0204634	134
0207224	255
0207277	639
0207705	1
0210120	1
0210174	375
0210453	29
0211301	46
0212271	276
0213155	1679
0213264	301
0214055	358
0214745	168
0215166	539
0215645	64
0216665	1
0217132	189
0217410	390
0217440	51
0217764	123
0222526	109
0222527	3
0222643	437
0224131	199
0226040	702
0226661	21
0226703	97
0227276	249
0230027	239
0231335	983
0231714	40
0231737	31
0233223	22
0233416	1
0234014	3
0234024	2
0234135	301
0234361	201
0234640	26
0235066	1
0235266	714
0235700	1
0236217	334
0236512	76
0236760	197
0240207	1
0240537	8
0241111	23
0241212	109
0241423	2
0242543	323
0242726	231
0243242	4
0243471	90
0243532	505
0243704	541
0243705	488
0244135	65
0244160	138
0244736	1
0245075	52
0245122	10
0245331	258
0246127	238
0247035	325
0247267	3
0247660	1514
0250101	1
0250641	104
0250655	21
0251711	62
0252052	68
0252155	1
0253002	1
0253357	321
0253456	37
0253664	200
0254164	8
0254463	49
0255562	1475
0256422	30
0257576	3
0260223	1
0260231	1189
0260316	64
0260564	169
0261412	267
0261510	1
0262321	115
0262322	156
0262521	316
0263125	2
0263470	1
0264620	276
0266236	1
0266262	430
0267200	576
0267442	121
0267637	42
0270707	246
0271103	8
0312020	117
0312676	12
0313225	281
0314024	110
0314524	27
0315061	655
0315073	52
0316520	4
0316571	39
0317051	78
0317062	10
0320246	13
0320606	1
0320626	55
0320657	3481
0321050	9
0321213	97
0322067	30
0322116	414
0323156	7
0323431	83
0323470	471
0323553	1
0323767	102
0324055	107
0325627	1
0326013	8
0326144	57
0326264	223
0326377	361
0327545	41
0330057	162
0330122	1
0330167	145
0330411	217
0330465	3
0330471	6
0330500	7095
0330501	70
0330666	120
0331266	192
0331777	91
0332173	501
0332203	24
0332675	6
0333501	1
0333506	92
0333507	170
0333524	6
0333601	138
0334721	69
0335405	393
0337330	112
0337752	7
0342017	87
0342367	153
0342677	106
0346411	1021
0346574	58
0346653	225
0347227	140
0347242	80
0347631	41
0351014	252
0353557	2
0354343	185
0354422	240
0354720	226
0355501	534
0355667	1
0356504	48
0356657	110
0356763	2
0357015	1
0357245	115
0357443	125
0360051	62
0360342	66
0361027	1
0361031	148
0361046	2
0361055	258
0361512	297
0361547	205
0361603	61
0364220	208
0364265	22
0364441	123
0364456	368
0364535	75
0365252	8
0365260	21
0365263	63
0365304	454
0365307	171
0365316	43
0365332	318
0365337	60
0365646	42
0366151	870
0366372	200
0366543	2016
0367033	202
0367050	122
0367541	348
0367663	2
0370033	53
0370073	131
0370077	1
0370121	125
0370123	26
0370270	187
0370301	26
0370306	88
0370307	69
0370310	271
0370320	103
0370336	173
0370343	299
0370344	82
0370354	190
0370364	114
0370366	175
0370374	344
0370400	54
0370401	50
0370413	15
0370416	40
0370417	26
0370421	15
0370425	12
0370431	11
0370435	20
0370436	16
0370441	15
0370465	202
0370467	192
0370470	231
0370473	479
0370475	199
0370476	543
0370500	432
0370502	200
0370506	280
0370507	744
0370512	173
0370514	1
0370515	3
0370521	159
0370522	638
0370524	342
0370525	173
0370534	872
0370535	241
0370536	2060
0370543	3562
0370550	117
0370570	219
0370571	130
0370600	24
0370604	64
0370612	73
0370616	77
0370617	93
0370623	368
0370624	10
0370625	208
0370626	509
0370635	470
0370636	77
0370647	39
0370657	40
0370667	70
0370674	110
0370676	1
0370706	2
0370707	432
0370711	109
0370712	263
0370713	72
0370723	30
0370732	65
0370735	174
0370740	28
0370750	240
0370760	40
0371632	4
0372264	6
0372307	73
0372343	150
0372347	174
0372351	732
0372354	1058
0372355	586
0372361	17
0372367	26
0372370	34
0372373	18
0372374	28
0372377	18
0372403	203
0372406	137
0372430	258
0372434	373
0372441	12
0372460	179
0372477	142
0372516	1482
0372525	56
0372526	10
0372537	431
0372541	490
0372544	681
0372547	575
0372553	549
0372557	325
0372562	1
0372565	1
0372604	108
0372606	96
0372612	63
0372617	25
0372621	36
0372625	179
0372630	29
0372646	312
0372650	145
0372652	848
0372705	1
0372707	87
0372712	151
0372714	158
0372715	121
0372725	248
0372736	173
0372741	362
0372755	187
0372762	193
0372763	295
0372764	339
0372766	2
0372767	40
0372772	586
0373007	127
0373022	24
0373026	43
0373027	121
0373062	37
0373077	1
0373100	38
0373124	53
0373125	407
0373126	86
0373151	1
0373152	161
0373220	122
0373224	253
0373226	370
0373305	3
0373322	4
0373334	95
0374236	612
0374617	38
0374620	177
0374626	22
0374630	789
0374636	200
0374641	194
0374646	3
0374654	48
0374655	26
0374660	182
0374672	146
0374675	162
0374701	234
0374703	68
0374714	65
0374716	191
0374720	1
0374726	154
0374731	51
0374740	57
0374750	296
0374755	1460
0374763	139
0375011	147
0375037	15
0375040	271
0375042	2
0375267	163
0375272	262
0375327	185
0375356	307
0375360	1857
0375361	166
0375362	923
0375363	106
0375370	291
0375373	65
0375376	19
0375400	302
0375402	158
0375403	376
0375404	354
0375410	817
0375434	38
0375521	1285
0375566	156
0375655	333
0375672	602
0376027	459
0376166	29
0376331	748
0376332	39
0376333	245
0376334	695
0376337	227
0376340	773
0376342	270
0376343	1522
0376351	159
0376352	331
0376354	12
0376362	170
0376363	171
0376364	552
0376370	112
0376371	4
0376372	80
0376374	993
0376377	481
0376404	79
0376405	113
0376412	272
0376422	813
0376424	19
0376425	165
0376426	71
0376427	41
0376441	115
0376442	101
0376452	6
0376465	140
0376470	54
0376473	42
0376475	177
0376476	64
0376503	53
0376505	138
0376507	388
0376514	2
0376536	147
0376540	4
0376542	33
0376573	69
0376574	237
0376600	145
0376601	212
0376606	141
0376611	150
0376617	169
0376642	68
0376647	11
0376746	5
0376757	91
0377015	141
0377266	147
0377775	160
0400640	73
0400645	162
0400654	199
0400666	114
0400673	96
0400675	249
0400714	406
0400721	84
0400732	297
0400740	5
0400744	147
0400763	19
0400764	89
0400767	69
0400770	334
0400771	67
0400773	170
0400775	85
0401006	126
0401007	34
0401016	1
0401017	8
0401057	118
0401060	1189
0401067	275
0401075	147
0401101	423
0401107	18
0401121	194
0401123	58
0401126	100
0401131	150
0401132	29
0401133	246
0401141	2442
0401147	141
0401150	765
0401152	102
0401156	25
0401176	51
0401220	582
0401223	76
0401224	558
0401233	123
0401245	123
0401256	73
0401257	160
0401260	574
0401271	176
0401273	49
0401300	340
0401302	32
0401307	1
0401404	145
0401650	27
0401663	172
0401664	2194
0402313	81
0402640	57
0403171	115
0403234	783
0404024	79
0404243	470
0404246	68
0404263	27
0404277	41
0404312	256
0404317	161
0404334	269
0404371	128
0404375	107
0404432	10
0404453	29
0404510	98
0404511	1996
0404514	32
0404516	251
0404520	217
0404522	148
0404536	95
0404546	80
0404551	91
0405376	1016
0405525	4
0405543	448
0405571	1120
0406021	39
0406041	205
0406125	118
0406646	1
0407123	70
0407224	91
0407300	220
0407712	18
0410247	121
0410263	77
0410275	15
0410427	706
0410447	102
0410462	3014
0410553	335
0411011	1319
0411361	370
0411772	46
0412004	63
0412011	84
0412041	146
0412072	133
0412703	1
0412727	1
0412765	207
0413066	536
0413415	18
0413423	454
0413531	25
0413533	219
0413573	1
0413601	51
0413602	116
0413606	134
0413613	167
0413645	108
0413661	15
0413674	2
0413675	743
0413725	62
0413766	136
0414002	50
0414003	148
0414006	3
0414075	103
0414106	88
0414162	194
0414576	137
0414670	46
0414756	47
0415027	42
0415216	140
0415227	199
0415553	5
0415677	67
0416575	265
0416577	123
0416661	29
0417337	50
0417347	604
0417353	228
0417355	108
0417360	520
0417364	78
0417367	61
0417372	86
0417373	179
0417402	139
0417414	68
0417427	229
0417435	441
0417442	494
0417457	10
0417466	174
0417475	11
0417505	139
0417611	105
0417615	258
0417625	244
0417663	1
0417731	30
0417737	124
0420404	39
0420432	35
0420510	859
0420544	120
0420550	83
0421030	516
0421031	381
0421041	403
0421110	235
0421145	87
0421304	1
0421406	138
0421510	336
0421520	45
0421737	42
0422675	1
0422676	7
0423161	583
0423204	64
0423221	63
0423506	415
0423731	143
0424247	50
0424767	69
0425076	157
0425123	147
0425124	279
0425672	48
0425742	27
0425743	64
0425746	702
0425754	62
0426720	416
0427163	3
0427461	85
0430275	45
0430303	102
0430463	58
0430773	155
0431155	115
0431420	75
0431702	55
0432520	257
0432557	150
0433604	138
0434624	23
0435062	241
100883319	388
100883360	44
100883369	32
100883395	109
100883413	34
100883415	2
100883416	120
100883417	177
100883428	372
100883432	33
100883448	581
100883450	109
100883501	1058
100883503	174
100883508	66
100883537	175
100883581	21
100883590	98
100883596	131
100883601	1
100883603	83
100883604	117
100883611	535
100883645	329
100883647	41
100883649	371
100883685	53
100883688	322
100883691	114
100883692	524
100883818	219
100884139	769
100884618	74
100885136	138
100885154	43
100885357	218
100885360	1
100885761	127
100886002	386
100886103	30
100886162	72
100886202	89
100886238	129
100886455	40
100886502	36
100886617	43
100886622	116
100886647	100
100886721	247
100886823	61
100887028	2
100887374	62
100887377	97
100887391	51
100887419	92
100887420	270
100887452	247
100887595	337
100887625	4
100887967	92
100888004	116
100888143	96
100888160	2634
100888201	146
100888334	134
100888552	60
100888553	14
100888554	273
100888555	6
100888581	2
100888641	35
100888704	377
100888706	112
100888751	137
100888796	124
100888800	178
100888896	30
100888899	163
100888957	23
100888960	87
100888967	142
100888969	183
100888970	78
100888977	89
100888980	7
100888982	43
100888983	15
100889025	219
100889074	1
100889084	152
100889097	28
100889186	130
100889644	136
100889708	2
100890099	93
100890164	1
100890196	27
100890344	2
100890393	1824
100890575	198
100890578	146
100890581	303
100890582	6
100890606	118
100890607	59
100890609	167
100890625	6
100890634	1
100890690	81
100891112	190
100891385	7
100891504	43
100891853	119
100891857	106
100892005	301
100892086	95
100892202	99
100892712	82
100892832	69
100892845	30
100892849	467
100892857	45
100892858	772
100893225	202
100893237	194
100893243	530
100893366	189
100893612	163
100893704	112
100893864	4
100893959	1051
100894081	2
100894201	398
100894376	1
100894530	1
100894724	129
100895165	1
100895290	79
100895309	119
100895787	7
100895847	1
100895975	107
100896471	187
100896531	119
100896915	118
100897261	92
100897327	83
100897329	139
100897346	241
100897350	108
100897390	76
100897392	113
100897394	41
100897395	235
100897685	80
100898201	1
100898209	49
100898211	49
100898657	126
100898731	152
100898738	298
100898744	571
100898759	526
100898843	167
100898849	50
100898941	61
100899009	76
100899600	513
100900466	47
100900815	7
100900900	143
100900921	231
100900943	65
100900946	111
100901141	78
100901183	65
100901225	191
100901226	180
100901227	167
100901228	310
100901229	226
100901230	185
100901315	67
100901316	33
100901626	3
100901776	33
100901990	176
100908968	15
100909039	11
100909185	260
100909359	105
100909377	53
100909380	62
100909394	29
100909407	116
100909747	535
100909956	208
100910415	1
100910628	30
100910640	1
100910681	15
100910760	1
100911021	160
100911100	33
100911134	4
100911167	9
100911346	17
100911591	89
100912060	6
100912837	824
100913117	382
100913944	121
100927353	118
100927567	91
100927946	99
100929017	170
100930043	45
100930740	199
100931242	43
100931761	218
100931790	73
100931981	72
100935589	101
100935741	421
100936353	50
100936359	82
100937320	43
100937360	416
100938016	194
100939340	35
100939343	52
100939345	136
100939725	21
100939812	56
100940059	6
100940513	174
100940562	158
100940588	79
100940627	1
100940729	342
100941354	254
100942132	116
100953417	35
100953583	200
100953980	57
100954211	300
100954394	207
100954576	101
100954591	10
100954653	250
100954728	87
100954790	304
100954969	121
100955036	65
100955049	152
100955210	1
100955213	4
100955222	5
100955314	3
100955315	1
100955323	1
100955326	2
100955338	174
100955348	1
100955352	1
100955483	1
100955490	9
100955497	2
100955504	1
100955518	3
100955521	2
100955692	6
100955697	6
100955699	6
100955716	1
100955717	2
100955724	5
100955727	1
100955807	64
100956087	206
100956096	198
100956211	204
100956422	134
100956435	95
100956732	1
100956805	174
100957246	517
100957268	53
100957634	5
100958373	59
100958385	341
100958626	49
100959175	812
100959226	180
100959228	54
100959418	193
100959500	227
100959580	4
100959585	64
100959882	1283
100959949	209
100960007	179
100960027	36
100960029	3
100960111	306
100960527	51
100960529	66
100960530	180
100960531	141
100960533	105
100960562	133
100960660	351
100960938	5
100960995	73
100961305	11
100961504	489
100961515	3
100961631	17
100961709	1
100962645	2
100962752	112
100962779	126
100962781	135
100962782	114
100962988	6
100962994	4
100963000	5
100963049	321
100963089	223
100963218	1
100963688	50
100963717	24
100963739	300
100963897	131
100964009	7788
100964185	84
100964435	13
100964771	45
100965121	68
100965194	604
100965211	1
100965258	915
100965259	1120
100965417	53
100965420	26
100965525	128
100966015	1
100966032	112
100966034	134
100966035	123
100966036	156
100966133	129
100966385	1
100966769	69
100966936	205
100966973	16
100966980	82
100966981	352
100966986	79
100967213	1
100967245	1
100967455	1
100967552	1
100967562	5
100967568	2
100967627	328
100967737	4
100967755	64
100967792	261
100967793	420
100967799	852
100967800	1356
100967802	458
100967804	588
100967807	606
100967901	1
100968109	1
100968191	4
100968199	4
100968246	3
100968290	1
100968535	319
100968539	626
100968543	162
100968545	287
100968547	494
100968548	730
100968551	1283
100968552	1
100968553	195
100968555	496
100968559	635
100968562	2338
100968563	425
100968565	1060
100968567	449
100968571	185
100968590	2
100968638	529
100968751	142
100968761	3
100969177	4
100969251	4
100969318	2
100969404	3
100969487	1
100969626	4
100969716	441
100969869	1
100969874	1
100969875	4
100969942	1
100970070	45
100970115	1
100970230	4
100970246	1
100970388	1
100970413	237
100970478	1
100970551	3
100970552	3
100970604	70
100970605	109
100970618	6
100970666	84
100970798	1
100970884	200
100970957	9
100971281	2
100971304	18
100971316	13
100971318	1
100971319	10
100971322	1
100971327	2
100971333	5
100971341	4
100971385	3
100971391	2
100971395	10
100971398	33
100971400	8
100971402	1
100971411	1
100971443	120
100971455	1
100971458	12
100971529	5
100971530	1
100971555	84
100971564	88
100971565	1
100971574	542
100971577	1
100971588	1
100971590	9
100971602	1
100971607	1
100971627	20
100971636	25
100971802	1
100971922	1
100971946	1
100971953	1
100971968	3
100972021	1
100972041	1
100972148	23
100972154	19
100972232	62
100972333	4
100972346	8
100972487	1
100972575	10
100972611	3
100972695	1
100972747	4
100972755	6
100972772	12
100972774	1
100972822	4
100972851	9
100972852	1
100972854	4
100972977	1
100973050	6
100973094	14
100973095	7
100973201	11
100973331	19
100973387	1
100973390	2
100973394	23
100973395	2
100973405	67
100973416	78
100973463	266
101082763	1
101082834	30
101083072	14
101083101	71
101083217	81
101083580	9
101083777	956
101083946	92
101083949	72
101083979	1
101084138	425
101084156	22
101084157	72
101084218	1
101084221	19
101084288	18
101084355	1
101084386	11
101084424	326
101084425	1
101084432	5
101084438	3
101084445	13
101084446	2
101084492	18
101084496	70
101084535	1
101084547	4
101084552	3
101084604	2
101084630	1
101084640	2
101084657	2
101084660	21
101084699	2
101084734	1
101084743	1
101084746	2
101084787	22
101084795	10
101084857	2
101084948	5
101084957	1
101085015	19
101085045	9
101085068	5
101085092	1
101085110	2
101085117	11
101085119	9
101085131	46
101085138	12
101085165	9
101085207	3
101085270	7
101085272	3
101085302	2
101085311	1
101085316	14
101085345	1
101085360	121
101085384	74
101085391	1
101085489	3
101085550	216
101085680	1
101085716	3
101085806	8
101085812	2
101085818	5
101085827	7
101085873	2
101085909	2
101085944	7
101085960	4
101085963	1
101085973	1
101085999	1
101086008	9
101086031	17
101086096	1
101086175	6
101086192	6
101086396	3
101086399	53
101086507	1
101086515	6
101086541	8
101086612	91
101086634	889
101086664	1
101086677	6
101086721	1
101087199	2
101087204	1
101087247	2
101087374	8
101087507	42
101087557	2
101087593	4
101087650	1
101087652	5
101087690	8
101087695	1
101087697	143
101087744	3
101087747	24
101087764	1
101087768	3
101087974	5
101087982	2
101088070	1392
101088075	9
101088083	105
101088169	109
101088170	39
101088195	800
101088505	222
101088554	372
101088663	71
101088676	247
101088677	1367
101088679	626
101088680	170
101088682	373
101088683	258
101088684	673
101088685	193
101088690	439
101088724	12
101089166	85
101089176	342
101089443	101
101089851	122
101090048	101
101090220	120
101090552	247
101090633	323
101090650	3
101090746	10
101090848	268
101090931	56
101091018	2
101091305	103
101091407	6
101091496	2
101091810	2
101091831	2
101091834	2
101091908	2
101091992	1
101092261	7
101092359	1
101092368	4
101092391	10
101092570	28
101092707	114
101092722	1
101092742	52
101092768	1
101092791	13757
101092853	274
101092871	2
101092924	5
101092952	488
101092973	1
101093076	81
101093088	4
101093320	104
101093457	12
101093592	128
101093743	5
101093791	67
101093910	83
101094211	63
101094212	183
101094318	2
101094990	3
101094994	2
101095192	50
101095458	120
101095653	250
101095751	12
101095924	254
101096396	105
101096440	46
101096515	128
101096520	62
101097023	284
101119673	208
101120023	69
101120028	301
101120118	16
101120121	106
101120122	33
101120605	38
101120659	55
101120682	62
101120693	78
101120777	120
101121149	43
101121166	44
101121446	51
101121582	92
101121613	2
101121743	23
101121847	130
101121881	55
101121949	248
101122095	9
101122473	257
101122652	23
101122696	4
101122979	32
101123037	77
101123071	9
101123324	1
101123358	127
101124082	4
101124168	107
101124169	168
101124170	27
101124171	250
101124451	123
101124748	25
101124843	1
101124922	6
101125284	147
101125414	154
101125446	40
101125473	74
101125608	36
101125610	112
101125644	99
101125647	167
101125678	156
101125795	84
101125969	44
101125977	44
101126308	99
101126433	118
101126530	151
101126664	278
101126728	87
101126895	89
101126979	151
101127833	88
101128359	192
101128385	89
101128698	173
101128757	49
101128775	493
101128793	119
101128834	110
101128948	408
101128963	204
101128966	216
101128967	167
101128968	125
101129542	611
101129617	74
101129944	116
101130150	576
101130615	69
101130617	208
101130625	518
101130732	253
101130835	107
101130839	211
101130961	89
101130964	655
101130981	24
101131135	74
101131163	176
101131275	48
101132257	123
101132357	1
101132535	236
101132622	151
101132728	93
101132980	50
101132995	396
101133002	45
101133385	322
101133858	88
101133951	8
101134327	670
101134359	4
101134362	4
101134380	124
101134521	75
101134613	64
101134822	108
101134867	115
101134876	21
101135037	4
101135325	153
101135365	52
101135662	34
101135701	8
101135738	213
101135751	86
101135818	99
101135941	193
101135954	121
101136371	2
101136419	39
101136421	155
101136878	150
101136916	606
101137074	2
101137096	12
101137100	2
101137102	8
101137103	3193
101137270	45
101137288	3
101137555	2
101137599	323
101137600	156
101137604	58
101137683	339
101137841	215
101137842	67
101138477	34
101138582	154
101139110	113
101139138	136
101139309	266
101139554	396
101139795	705
101139802	486
101139812	235
101139857	6
101139986	1
101140017	138
101140022	145
101140025	210
101140040	47
101140127	32
101140142	86
101140517	44
101140527	145
101140654	3
101140655	15
101140941	302
101140988	567
101141257	34
101141280	84
101141506	6
101141667	137
101141792	64
101142015	11
101142025	34
101142069	47
101142157	77
101142169	53
101142172	2
101142469	97
101142614	7
101142708	62
101143078	53
101143317	36
101144015	35
101144297	76
101144324	136
101144384	65
101144385	154
101144387	99
101144973	112
101145354	5
101146178	82
101146510	41
101146672	1
101146739	186
101146940	26
101147009	117
101147064	41
101147197	211
101147219	7
101147518	132
101147637	242
101147645	127
101147692	264
101147696	181
101147698	172
101148810	127
101148822	2
101148924	2
101148926	150
101148927	3
101148934	1
101148936	1
101148937	1
101149327	60
101149451	243
101149755	35
101149758	3
101149765	3
101150032	285
101150042	184
101150203	185
101150304	38
101150314	80
101150318	78
101151220	1
101151352	241
101151385	1
101151457	111
101151468	48
101151806	2
101152152	86
101152195	27
101152198	46
101152208	459
101152213	95
101152234	1
101152341	156
101152804	92
101152869	64
101153368	64
101153623	21
101153624	134
101153626	273
101153627	189
101154029	6
101154140	71
101154361	113
101154438	306
101154995	1109
101155056	44
101155137	125
101155473	311
101155475	137
101155626	1
101155885	144
101156063	137
101156072	26
101156081	64
101156086	274
101156268	23
101156357	112
101156990	59
101157207	89
101157208	64
101157212	74
101157239	149
101157298	2
101157394	141
101157530	1306
101158091	213
101158399	332
101158402	93
101159262	238
101159382	1
101159952	40
101160020	234
101160225	2
101160382	2
101160518	53
101160559	77
101160775	569
101160857	369
101160862	264
101160941	138
101162515	196
101162596	12
101162609	172
101163027	143
101163270	73
101163587	83
101163637	32
101164708	553
101164773	57
101165248	1027
101165286	37
101166135	109
101167001	117
101167278	34
101167473	31
101167637	100
101167661	131
101167762	122
101167768	85
101167786	10
101167924	1096
101168070	55
101168228	72
101168327	98
101168329	128
101168357	175
101168776	460
101170415	1
101170464	123
101170476	81
101170481	154
101170508	385
101170535	137
101170539	14
101170542	106
101170544	350
101172931	68
101172973	1
101174629	90
101174817	195
101174860	112
101174880	8
101175110	1
101175339	188
101175532	88
101175716	14
101175815	2
101175887	29
101176023	9
101176026	1871
101176125	1
101176127	1
101176252	261
101176417	52
101176443	1
101176492	70
101177553	1
101177984	65
101177990	176
101178352	34
101178411	47
101179386	2316
101179473	82
101179615	56
101179619	1
101179870	124
101180874	1
101180951	34
101181180	137
