NlmUniqueID	issn	sherpa_id	result	journal
	1758-8936	14033	JSON file OK - 	101518151
	1612-4790	7896	JSON file OK - 	101177984
	1095-5623		JSON file OK - sherpa without items - 	0241111
	2365-7464	30831	JSON file OK - 	101697632
	1551-6709	6843	JSON file OK - 	7708195
	1873-7838		JSON file OK - sherpa without items - 	0367541
	2373-2873		JSON file OK - sherpa without items - 	101660017
	1943-0264		JSON file OK - sherpa without items - 	101513680
	2157-1422		JSON file OK - sherpa without items - 	101571139
	1559-6095		JSON file OK - sherpa without items - 	101524530
	1943-4456		JSON file OK - sherpa without items - 	1256107
	1873-4367	15503	JSON file OK - 	9315133
	1657-9534		JSON file OK - sherpa without items - 	9212578
	1463-1318	7632	JSON file OK - 	100883611
	1875-5402	1972	JSON file OK - 	9810948
	2399-3642	35127	JSON file OK - 	101719179
	2209-6051		JSON file OK - sherpa without items - 	101735394
	1613-3625	11711	JSON file OK - 	101201068
	0265-539X		JSON file OK - sherpa without items - 	8411261
	1600-0528	11858	JSON file OK - 	0410263
	1573-2789	17205	JSON file OK - 	0005735
	1531-4332	27880	JSON file OK - 	9806096
	1879-1107	27881	JSON file OK - 	9516061
	1532-0456	27882	JSON file OK - 	100959500
	1878-0407	12819	JSON file OK - 	101270611
	1878-1667	12855	JSON file OK - 	7808924
	1532-0820		JSON file OK - sherpa without items - 	100900466
	2158-1797		JSON file OK - sherpa without items - 	9600713
	2504-2106	32905	JSON file OK - 	101698453
	1873-6947		JSON file OK - sherpa without items - 	101225531
	1873-6963		JSON file OK - sherpa without items - 	9308777
	2469-4207	31203	JSON file OK - 	101682864
	2040-4603	23790	JSON file OK - 	101574442
	1532-8384		JSON file OK - sherpa without items - 	0372612
	1541-4337	7633	JSON file OK - 	101305205
	2469-9322	780	JSON file OK - 	101681550
	1476-928X	11156	JSON file OK - 	101157394
	1879-0534	4583	JSON file OK - 	1250250
	1538-9774	8732	JSON file OK - 	101141667
	1687-5273	3065	JSON file OK - 	101279357
	1748-6718		JSON file OK - sherpa without items - 	101277751
	1879-0771	4578	JSON file OK - 	8806104
	1476-8259	5094	JSON file OK - 	9802899
	1872-7565	12500	JSON file OK - 	8506513
	1741-4520	3678	JSON file OK - 	9306292
	1607-8438	781	JSON file OK - 	0365263
	1090-2376		JSON file OK - sherpa without items - 	9303140
	1523-1739	877	JSON file OK - 	9882301
	1476-5411	16866	JSON file OK - 	9712714
	1600-0536	11859	JSON file OK - 	7604950
	1559-2030	15542	JSON file OK - 	101242342
	1839-3535	4110	JSON file OK - 	9211867
	1538-6899	19306	JSON file OK - 	9509333
	1879-0518		JSON file OK - sherpa without items - 	0234361
	1555-4317	7431	JSON file OK - 	101286760
	1662-2782		JSON file OK - sherpa without items - 	7513582
	1541-2563	782	JSON file OK - 	101211769
	1536-4798	8749	JSON file OK - 	8216186
	1473-5830	8750	JSON file OK - 	9011445
	1973-8102		JSON file OK - sherpa without items - 	0100725
	2163-8306	24226	JSON file OK - 	101580011
	2151-0903	38923	JSON file OK - 	8609491
	1078-4535	33041	JSON file OK - 	9505022
	1471-2857	7433	JSON file OK - 	9309668
	2151-2396	8443	JSON file OK - 	8218602
	2573-1602	37039	JSON file OK - 	101738191
	1466-609X	2515	JSON file OK - 	9801902
	1557-8232	4759	JSON file OK - 	8507720
	1530-0293	8751	JSON file OK - 	0355501
	1558-3481	4760	JSON file OK - 	8912620
	1550-5111	8752	JSON file OK - 	8704517
	1940-8250	10923	JSON file OK - 	8207799
	1535-2811	8753	JSON file OK - 	101165286
	1547-6510	5129	JSON file OK - 	9004784
	1549-7798	784	JSON file OK - 	8903774
	1943-619X	3523	JSON file OK - 	8208627
	1549-7801	785	JSON file OK - 	8505177
	1549-781X	786	JSON file OK - 	8914816
	1045-4403	3524	JSON file OK - 	9007261
	1549-7852	5131	JSON file OK - 	8914818
	1040-8401	3544	JSON file OK - 	8914819
	1549-7828	787	JSON file OK - 	8914274
	0893-9675	3546	JSON file OK - 	8914610
	1879-0461		JSON file OK - sherpa without items - 	8916049
	2162-660X	3548	JSON file OK - 	8511159
	1547-6898	788	JSON file OK - 	8914275
	1332-8166	40202	JSON file OK - 	9424324
	2376-9254		JSON file OK - sherpa without items - 	101654608
	0143-2044		JSON file OK - sherpa without items - 	9891832
	1090-2392		JSON file OK - sherpa without items - 	0006252
	1132-1989	39733	JSON file OK - 	101312976
	1464-5351	5144	JSON file OK - 	100883416
	1573-076X	13074	JSON file OK - 	7707467
	1077-341X		JSON file OK - sherpa without items - 	100956435
	2223-6279	21382	JSON file OK - 	7901092
	1874-6128	1973	JSON file OK - 	101473576
	1534-6315	11169	JSON file OK - 	101096440
	1875-5828	1974	JSON file OK - 	101208441
	1534-6242	11170	JSON file OK - 	100897685
	1879-0445	6585	JSON file OK - 	9107782
	1873-5576		JSON file OK - sherpa without items - 	101094211
	1534-3170	11188	JSON file OK - 	100888969
	1875-6557	3892	JSON file OK - 	101261935
	1875-6697	3896	JSON file OK - 	101265750
	1539-0829	11177	JSON file OK - 	101093791
	1875-6417	3897	JSON file OK - 	101253260
	1875-5704	3899	JSON file OK - 	101208455
	1875-6220	3900	JSON file OK - 	101157212
	1875-5453	3901	JSON file OK - 	100960533
	2589-9783	3898	JSON file OK - 	101735701
	2212-3911	3902	JSON file OK - 	101270895
	1873-5592	3903	JSON file OK - 	100960531
	2196-5412	28149	JSON file OK - 	101629387
	1460-2202	789	JSON file OK - 	8104312
	1534-312X	11179	JSON file OK - 	100888896
	1875-5631	3906	JSON file OK - 	101125446
	1432-0983	7908	JSON file OK - 	8004904
	1546-9549	11181	JSON file OK - 	101196487
	1558-822X	11182	JSON file OK - 	101262565
	1873-4251	3908	JSON file OK - 	101156990
	1548-3576	11184	JSON file OK - 	101235661
	1534-3111	11185	JSON file OK - 	100888982
	1875-6506	3909	JSON file OK - 	101239891
	1875-533X		JSON file OK - sherpa without items - 	9440157
	1573-4056	3914	JSON file OK - 	101762461
	1473-4877	790	JSON file OK - 	0351014
	2523-899X	41467	JSON file OK - 	101729993
	1432-0991	13017	JSON file OK - 	7808448
	1875-5666	3916	JSON file OK - 	101093076
	1874-4702	3917	JSON file OK - 	101467997
	1534-6293	11187	JSON file OK - 	100931790
	1875-6190	3919	JSON file OK - 	101157239
	1875-5739	3920	JSON file OK - 	101208439
	2161-3311	30678	JSON file OK - 	101587480
	2162-4968	30797	JSON file OK - 	101578283
	1718-7729	38183	JSON file OK - 	9502503
	1534-6269	11189	JSON file OK - 	100888967
	1473-6322	8754	JSON file OK - 	100936359
	1473-6500	8755	JSON file OK - 	8813436
	1879-0429		JSON file OK - sherpa without items - 	9100492
	1531-7080	8756	JSON file OK - 	8608087
	1879-0410		JSON file OK - sherpa without items - 	8913428
	1879-0402		JSON file OK - sherpa without items - 	9811312
	1473-6519	8757	JSON file OK - 	9804399
	1531-7072	8758	JSON file OK - 	9504454
	1752-2978	8759	JSON file OK - 	101308636
	1531-7056	8760	JSON file OK - 	8506887
	1879-0380	27897	JSON file OK - 	9111375
	1531-7048	8761	JSON file OK - 	9430802
	1746-6318	8762	JSON file OK - 	101264945
	1879-0372		JSON file OK - sherpa without items - 	8900118
	1473-6527	8763	JSON file OK - 	8809878
	2214-5753		JSON file OK - sherpa without items - 	101635599
	1473-6535	8764	JSON file OK - 	9010000
	1879-0364		JSON file OK - sherpa without items - 	9815056
	1473-6543	8765	JSON file OK - 	9303753
	1873-6882		JSON file OK - sherpa without items - 	9111376
	1473-6551	8766	JSON file OK - 	9319162
	1473-656X	8767	JSON file OK - 	9007264
	1531-703X	8768	JSON file OK - 	9007265
	1531-7021	8769	JSON file OK - 	9011108
	1531-7013	8770	JSON file OK - 	9717388
	1531-6998	8772	JSON file OK - 	9417024
	1531-698X	8773	JSON file OK - 	9000850
	1471-4973		JSON file OK - sherpa without items - 	100966133
	1879-0356		JSON file OK - sherpa without items - 	100883395
	1473-6578	8774	JSON file OK - 	8809880
	2352-2518	29732	JSON file OK - 	101649136
	1531-6971	8775	JSON file OK - 	9503765
	1531-6963	8776	JSON file OK - 	9000851
	1879-033X		JSON file OK - sherpa without items - 	9107784
	1751-4266	8777	JSON file OK - 	101297402
	1473-6586	8778	JSON file OK - 	9200621
	1879-6265	18465	JSON file OK - 	101560941
	1570-1794	3923	JSON file OK - 	101208457
	1544-2241	11190	JSON file OK - 	101176492
	1534-3081	11191	JSON file OK - 	100970666
	1875-6336	3924	JSON file OK - 	101240290
	1873-4316	3926	JSON file OK - 	100960530
	1873-4286	3930	JSON file OK - 	9602487
	1877-1300	16761	JSON file OK - 	101560815
	1535-6345		JSON file OK - sherpa without items - 	7702986
	1535-6280		JSON file OK - sherpa without items - 	7701802
	1662-2944		JSON file OK - sherpa without items - 	0147371
	1535-6302		JSON file OK - sherpa without items - 	7607123
	1538-3199		JSON file OK - sherpa without items - 	101134613
	1535-6337		JSON file OK - sherpa without items - 	0372617
	1875-5550	3933	JSON file OK - 	100960529
	2691-1299		JSON file OK - sherpa without items - 	101773894
	1535-1645	11193	JSON file OK - 	100888960
	1874-4729	3936	JSON file OK - 	101468718
	2452-3186	35757	JSON file OK - 	101681234
	2772-4336	3895	JSON file OK - 	9918227368306676
	1534-6307	11195	JSON file OK - 	100888970
	1875-6360	3938	JSON file OK - 	101261938
	1537-8918	8780	JSON file OK - 	101134380
	2212-3946		JSON file OK - sherpa without items - 	101272517
	1866-3389		JSON file OK - sherpa without items - 	101535383
	1557-8933		JSON file OK - sherpa without items - 	0163114
	1873-4294	3941	JSON file OK - 	101119673
	1063-5823		JSON file OK - sherpa without items - 	9212591
	2196-9965		JSON file OK - sherpa without items - 	0110513
	1534-6277	15761	JSON file OK - 	100900946
	1534-6285	11199	JSON file OK - 	100900943
	1875-6212	3942	JSON file OK - 	101157208
	1556-9535	791	JSON file OK - 	101266892
	2326-6929		JSON file OK - sherpa without items - 	0006440
	2152-2723	1311	JSON file OK - 	101528721
	1424-859X	8993	JSON file OK - 	101142708
	1096-0023		JSON file OK - sherpa without items - 	9005353
	1879-0305	15171	JSON file OK - 	9612306
	1552-4930	3628	JSON file OK - 	101235694
	1552-4957	6854	JSON file OK - 	101235690
	1365-2303	3264	JSON file OK - 	9010345
	1949-3592	13846	JSON file OK - 	101523844
	1477-2566	27899	JSON file OK - 	100895309
	1477-9234	18010	JSON file OK - 	101176026
	2245-1919	41743	JSON file OK - 	101576205
	2008-2231	35989	JSON file OK - 	101125969
	1758-0463	324	JSON file OK - 	101517697
	1091-7683	5151	JSON file OK - 	8506890
	1421-9824	8994	JSON file OK - 	9705200
	1741-2684	6755	JSON file OK - 	101128698
	1533-7790	23145	JSON file OK - 	0226703
	1558-0512	4761	JSON file OK - 	0217440
	1879-0097		JSON file OK - sherpa without items - 	8508040
	1881-1361		JSON file OK - sherpa without items - 	8309299
	2300-9020	37201	JSON file OK - 	101205669
	1600-9657	11860	JSON file OK - 	101091305
	2177-6709		JSON file OK - sherpa without items - 	101532240
	1476-542X	13755	JSON file OK - 	7609576
	1520-6394	13848	JSON file OK - 	9708816
	2162-5220		JSON file OK - sherpa without items - 	101207335
	1558-0520	4762	JSON file OK - 	8300886
	1087-2108		JSON file OK - sherpa without items - 	9610776
	1524-4725	29583	JSON file OK - 	9504371
	1529-8019	14569	JSON file OK - 	9700070
	1421-9832	8995	JSON file OK - 	9203244
	1095-564X		JSON file OK - sherpa without items - 	0372762
	1878-1551	6586	JSON file OK - 	101120028
	1878-9307	15861	JSON file OK - 	101541838
	1879-0089		JSON file OK - sherpa without items - 	7708205
	1097-0177	13850	JSON file OK - 	9201927
	1432-041X	7933	JSON file OK - 	9613264
	1440-169X	18802	JSON file OK - 	0356504
	1469-8749	7644	JSON file OK - 	0006761
	1932-846X	14570	JSON file OK - 	101300215
	1532-6942	1206	JSON file OK - 	8702038
	1751-8431	792	JSON file OK - 	101304394
	1421-9859	8996	JSON file OK - 	7809375
	1662-2790		JSON file OK - sherpa without items - 	8010321
	1098-2302	14579	JSON file OK - 	0164074
	1939-0599	3453	JSON file OK - 	0260564
	1469-2198	1553	JSON file OK - 	8910645
	1467-7687	3266	JSON file OK - 	9814574
	1471-8847	3265	JSON file OK - 	101120122
	1477-9129	14668	JSON file OK - 	8701744
	1752-8984	9109	JSON file OK - 	101234011
	1464-5491	7645	JSON file OK - 	8500858
	1939-327X	4056	JSON file OK - 	0372763
	1935-5548	4054	JSON file OK - 	7805975
	1878-1780		JSON file OK - sherpa without items - 	9607599
	2233-6087		JSON file OK - sherpa without items - 	101556588
	1520-7560	2490	JSON file OK - 	100883450
	1878-0334		JSON file OK - sherpa without items - 	101462250
	1463-1326	2469	JSON file OK - 	100883645
	1872-8227		JSON file OK - sherpa without items - 	8508335
	1557-8593	154	JSON file OK - 	100889084
	1432-0428	7934	JSON file OK - 	0006777
	1097-0339	13851	JSON file OK - 	8506895
	2211-5684	21840	JSON file OK - 	101568499
	1305-3612		JSON file OK - sherpa without items - 	101241152
	1879-0070		JSON file OK - sherpa without items - 	8305899
	1746-1596	2570	JSON file OK - 	101251558
	2194-802X	36397	JSON file OK - 	101654734
	1958-5969	42073	JSON file OK - 	101238198
	1432-0436	16877	JSON file OK - 	0401650
	1421-9875	8998	JSON file OK - 	8701186
	1573-2568	17203	JSON file OK - 	7902782
	1443-1661	3679	JSON file OK - 	9101419
	1878-3562		JSON file OK - sherpa without items - 	100958385
	1421-9883	8999	JSON file OK - 	8501808
	1421-9867	8997	JSON file OK - 	0150472
	1542-8958		JSON file OK - sherpa without items - 	9605355
	1538-8646	8782	JSON file OK - 	8211489
	1616-1580	13297	JSON file OK - 	8807037
	1530-0358	8784	JSON file OK - 	0372764
	1442-2050	3631	JSON file OK - 	8809160
	1875-8630	1808	JSON file OK - 	8604127
	1754-8411	14669	JSON file OK - 	101483332
	1557-8194		JSON file OK - sherpa without items - 	0370657
	1876-7583	16826	JSON file OK - 	101306633
	1464-5165	20617	JSON file OK - 	9207179
	1748-3115	794	JSON file OK - 	101255937
	1938-744X	8783	JSON file OK - 	101297401
	1467-7717	7648	JSON file OK - 	7702072
	1944-7930		JSON file OK - sherpa without items - 	101250006
	2209-1491		JSON file OK - sherpa without items - 	101282742
	1557-7430	155	JSON file OK - 	9004522
	1568-7856		JSON file OK - sherpa without items - 	101139138
	1756-1663	1340	JSON file OK - 	9423827
	1573-2622	17340	JSON file OK - 	0370667
	1608-3091	6501	JSON file OK - 	101126895
	1608-3105	6503	JSON file OK - 	7505459
	1879-0054	16882	JSON file OK - 	8505191
	1879-0046		JSON file OK - sherpa without items - 	7513587
	1465-3362	6781	JSON file OK - 	9015440
	1525-6014	831	JSON file OK - 	7801723
	1521-0464	832	JSON file OK - 	9417471
	2190-3948	26013	JSON file OK - 	101540061
	1177-8881	9599	JSON file OK - 	101475745
	1520-5762	833	JSON file OK - 	7802620
	1098-2299	13852	JSON file OK - 	8204468
	1881-784X		JSON file OK - sherpa without items - 	101493809
	1878-5832		JSON file OK - sherpa without items - 	9604391
	1740-6749		JSON file OK - sherpa without items - 	101235076
	1521-009X	9886	JSON file OK - 	9421550
	1874-0758		JSON file OK - sherpa without items - 	101313587
	2363-8915	36401	JSON file OK - 	101653409
	1880-0920	33275	JSON file OK - 	101164773
	1097-9883	834	JSON file OK - 	0322067
	2194-9387		JSON file OK - sherpa without items - 	101602406
	1532-2084	16503	JSON file OK - 	9815369
	1179-1942	18258	JSON file OK - 	9002928
	1942-7611	7436	JSON file OK - 	101483449
	1755-5248	1851	JSON file OK - 	0112037
	1179-1950	18259	JSON file OK - 	7600076
	1179-1969	18260	JSON file OK - 	9102074
	1179-6901	28204	JSON file OK - 	100883647
	1699-4019		JSON file OK - sherpa without items - 	101160518
	1866-0452		JSON file OK - sherpa without items - 	101475967
	1439-4413	10776	JSON file OK - 	0006723
	1099-0909	7437	JSON file OK - 	9511375
	1432-0460	17341	JSON file OK - 	8610856
	1538-4667	8785	JSON file OK - 	8005585
	1942-7522		JSON file OK - sherpa without items - 	7701817
	1872-6232	16885	JSON file OK - 	7708381
	1751-7893	13938	JSON file OK - 	101320027
	2224-7041	39592	JSON file OK - 	101536416
	1687-1634	6380	JSON file OK - 	9608387
	1873-7358	16888	JSON file OK - 	101090048
	1532-530X	5176	JSON file OK - 	9315161
	1590-1262	28207	JSON file OK - 	9707113
	2352-3964	29239	JSON file OK - 	101647039
	1540-8175	14582	JSON file OK - 	8511187
	1612-9210	16646	JSON file OK - 	101222144
	1051-0761	13291	JSON file OK - 	9889808
	1543-5237	5178	JSON file OK - 	0315073
	1461-0248	6991	JSON file OK - 	101121949
	1939-9170		JSON file OK - sherpa without items - 	0043541
	1873-6130	27903	JSON file OK - 	101166135
	2324-6200		JSON file OK - sherpa without items - 	101631050
	1090-2414		JSON file OK - sherpa without items - 	7805381
	1573-3017	16651	JSON file OK - 	9885956
	1469-5804	23533	JSON file OK - 	9607101
	1475-990X	21212	JSON file OK - 	101141280
	1110-4902		JSON file OK - sherpa without items - 	9816016
	2317-6385		JSON file OK - sherpa without items - 	101281800
	1536-8386	836	JSON file OK - 	101133002
	1522-2683	1682	JSON file OK - 	8204476
	2050-084X	24404	JSON file OK - 	101579614
	1460-2075	1641	JSON file OK - 	8208664
	1757-4684	26546	JSON file OK - 	101487380
	1469-3178	1637	JSON file OK - 	100963049
	1080-6059	33021	JSON file OK - 	9508155
	1742-6723	6782	JSON file OK - 	101199824
	1558-0539	4766	JSON file OK - 	8219565
	1472-0213	1852	JSON file OK - 	100963089
	1559-3908		JSON file OK - sherpa without items - 	100889097
	2222-1751	22819	JSON file OK - 	101594885
	2047-8984	10365	JSON file OK - 	9208913
	1438-1435	7943	JSON file OK - 	9431227
	2397-8562	31997	JSON file OK - 	101706399
	2386-5857		JSON file OK - sherpa without items - 	9805751
	1931-1516	3455	JSON file OK - 	101125678
	0013-7006		JSON file OK - sherpa without items - 	7505643
	1873-1929		JSON file OK - sherpa without items - 	0375037
	1662-2979		JSON file OK - sherpa without items - 	101138956
	1348-4540		JSON file OK - sherpa without items - 	9313485
	2212-3873	3946	JSON file OK - 	101269157
	1559-0097	15650	JSON file OK - 	9009288
	1934-2403		JSON file OK - sherpa without items - 	9607439
	1336-0329		JSON file OK - sherpa without items - 	9112018
	1479-6821	11757	JSON file OK - 	9436481
	1532-4206	837	JSON file OK - 	8408548
	1945-7189	32836	JSON file OK - 	8006258
	1559-0100	15649	JSON file OK - 	9434444
	2398-9238		JSON file OK - sherpa without items - 	101732442
	2530-0180		JSON file OK - sherpa without items - 	101717565
	2093-5978		JSON file OK - sherpa without items - 	101554139
	1558-4410	4767	JSON file OK - 	8800104
	1945-7170	14394	JSON file OK - 	0375040
	2299-8306		JSON file OK - sherpa without items - 	0370674
	1438-8812	10787	JSON file OK - 	0215166
	2373-2822	32977	JSON file OK - 	101647362
	2445-1479		JSON file OK - sherpa without items - 	101777540
	2529-993X	35768	JSON file OK - 	101777541
	2529-9840	35769	JSON file OK - 	101778566
	1938-2936	14680	JSON file OK - 	7502320
	1573-2983	12986	JSON file OK - 	8903118
	1476-069X	21713	JSON file OK - 	101147645
	1552-9924	19856	JSON file OK - 	0330411
	1347-4715		JSON file OK - sherpa without items - 	9609642
	1873-6750		JSON file OK - sherpa without items - 	7807270
	1432-1009	15704	JSON file OK - 	7703893
	1462-2920	878	JSON file OK - 	100883692
	1758-2229	6976	JSON file OK - 	101499207
	1098-2280	13853	JSON file OK - 	8800109
	1573-2959	15706	JSON file OK - 	8508350
	1873-6424	12533	JSON file OK - 	8804476
	1096-0953		JSON file OK - sherpa without items - 	0147621
	1614-7499	7949	JSON file OK - 	9441769
	2050-7895	25988	JSON file OK - 	101601576
	1520-5851	7774	JSON file OK - 	0213155
	1479-487X	19829	JSON file OK - 	9884939
	1522-7278	14593	JSON file OK - 	100885357
	1552-8618	12521	JSON file OK - 	8308958
	1872-7077		JSON file OK - sherpa without items - 	9612020
	1879-0909	16580	JSON file OK - 	8003761
	1874-6047		JSON file OK - sherpa without items - 	101637215
	1878-0067	16894	JSON file OK - 	101484711
	2092-7193	37440	JSON file OK - 	101519472
	1469-4409	1568	JSON file OK - 	8703737
	1210-7913		JSON file OK - sherpa without items - 	9431736
	1120-9763		JSON file OK - sherpa without items - 	8902507
	2045-7979	24422	JSON file OK - 	101561091
	1478-6729	318	JSON file OK - 	7910703
	2237-9622		JSON file OK - sherpa without items - 	101248287
	1531-5487	8787	JSON file OK - 	9009644
	1559-2308	42074	JSON file OK - 	101265293
	1756-8935	2574	JSON file OK - 	101471619
	1750-192X	12293	JSON file OK - 	101519720
	1528-1167	3633	JSON file OK - 	2983306R
	2470-9239	36978	JSON file OK - 	101692036
	1525-5069		JSON file OK - sherpa without items - 	100892858
	1872-6844	16834	JSON file OK - 	8703089
	1950-6945	41821	JSON file OK - 	100891853
	2042-3306	7445	JSON file OK - 	0173320
	1366-5847	5228	JSON file OK - 	0373220
	2055-5822	31267	JSON file OK - 	101669191
	2059-7029	36893	JSON file OK - 	101690685
	1612-9067	17348	JSON file OK - 	101206627
	1744-1358	15039	JSON file OK - 	0043306
	2578-2363		JSON file OK - sherpa without items - 	101738005
	2413-7170		JSON file OK - sherpa without items - 	101224773
	1945-0826		JSON file OK - sherpa without items - 	9109034
	1465-3419	5235	JSON file OK - 	9608374
	1421-9891	9000	JSON file OK - 	9502920
	1764-1489		JSON file OK - sherpa without items - 	101466614
	1879-730X		JSON file OK - sherpa without items - 	101531465
	1434-4726	7955	JSON file OK - 	9002937
	1996-9805	31606	JSON file OK - 	101277157
	1433-8491	7956	JSON file OK - 	9103030
	1432-1017	7957	JSON file OK - 	8409413
	1473-2262	29894	JSON file OK - 	100973416
	1435-165X	7958	JSON file OK - 	9212296
	1952-4005	41836	JSON file OK - 	9100879
	1099-0968	7446	JSON file OK - 	9436977
	2548-0839		JSON file OK - sherpa without items - 	101717480
	1878-7657	12915	JSON file OK - 	101533694
	1522-9645	325	JSON file OK - 	8006263
	2048-8734	23007	JSON file OK - 	101591369
	2047-2412	21941	JSON file OK - 	101573788
	2055-6845	32895	JSON file OK - 	101669491
	2058-1742	30593	JSON file OK - 	101677796
	1365-2346	8788	JSON file OK - 	8411711
	1439-6327	28234	JSON file OK - 	100954790
	1879-0852		JSON file OK - sherpa without items - 	9005373
	1365-2354	6803	JSON file OK - 	9301979
	1473-5709	8789	JSON file OK - 	9300837
	1873-734X	21433	JSON file OK - 	8804069
	1873-1953	13221	JSON file OK - 	101128793
	1618-1298		JSON file OK - sherpa without items - 	7906240
	1365-2362	6864	JSON file OK - 	0245331
	1435-4373	7962	JSON file OK - 	8804297
	1476-5640	1638	JSON file OK - 	8804070
	1432-1041	7963	JSON file OK - 	1256165
	1473-0782	1010	JSON file OK - 	9712127
	1600-0579	11864	JSON file OK - 	9712132
	1952-4013	41822	JSON file OK - 	9206420
	2107-0180	13370	JSON file OK - 	7608491
	1473-5695	8791	JSON file OK - 	9442482
	1479-683X	11761	JSON file OK - 	9423848
	1573-7284	13371	JSON file OK - 	8508062
	1473-5687	8792	JSON file OK - 	9000874
	1751-1402	839	JSON file OK - 	9513566
	1600-0609	11865	JSON file OK - 	8703985
	0902-4506		JSON file OK - sherpa without items - 	8703474
	1618-7601	8249	JSON file OK - 	101134867
	1571-8093	26246	JSON file OK - 	9431861
	1879-0844	27330	JSON file OK - 	100887595
	2038-8306		JSON file OK - sherpa without items - 	9207930
	2047-9964	29455	JSON file OK - 	101578294
	1476-5438	1639	JSON file OK - 	9302235
	1521-4141	476	JSON file OK - 	1273201
	1879-0828		JSON file OK - sherpa without items - 	9003220
	1751-6838	9939	JSON file OK - 	101124748
	1768-3254		JSON file OK - sherpa without items - 	0420510
	1878-0849		JSON file OK - sherpa without items - 	101247089
	2047-783X	22776	JSON file OK - 	9517857
	1468-1331	7713	JSON file OK - 	9506311
	1460-9568	6992	JSON file OK - 	8918110
	1619-7089	7965	JSON file OK - 	101140988
	1436-6215	7966	JSON file OK - 	100888704
	1872-7654	12862	JSON file OK - 	0375672
	1532-2122		JSON file OK - sherpa without items - 	100885136
	1724-6016	11477	JSON file OK - 	9110772
	1600-0722	3728	JSON file OK - 	9504563
	1460-2210	1342	JSON file OK - 	7909010
	1633-8065	28236	JSON file OK - 	9518037
	2035-648X		JSON file OK - sherpa without items - 	101121881
	1532-2130		JSON file OK - sherpa without items - 	9715169
	1532-2149	13228	JSON file OK - 	9801774
	1432-1076	7967	JSON file OK - 	7603873
	1439-359X	14501	JSON file OK - 	9105263
	1873-3441		JSON file OK - sherpa without items - 	9109778
	1879-0720		JSON file OK - sherpa without items - 	9317982
	1879-0712	13231	JSON file OK - 	1254354
	1973-9095	32205	JSON file OK - 	101465662
	2047-4881	21958	JSON file OK - 	101564430
	0965-7452		JSON file OK - sherpa without items - 	9314899
	1618-0429		JSON file OK - sherpa without items - 	8917383
	2000-8066	18644	JSON file OK - 	101559025
	1464-360X	1343	JSON file OK - 	9204966
	1872-7727		JSON file OK - sherpa without items - 	8106411
	1536-7290	5252	JSON file OK - 	101146739
	1532-2157		JSON file OK - sherpa without items - 	8504356
	1863-9941	13378	JSON file OK - 	101313350
	1532-2165		JSON file OK - sherpa without items - 	9512728
	1421-9913	9001	JSON file OK - 	0150760
	1873-7862		JSON file OK - sherpa without items - 	9111390
	1292-895X	28653	JSON file OK - 	101126530
	1778-3585	13242	JSON file OK - 	9111820
	1432-1084	7972	JSON file OK - 	9114774
	2509-9280	35344	JSON file OK - 	101721752
	1399-3003	11	JSON file OK - 	8803460
	1600-0617	12	JSON file OK - 	9111391
	2284-0729		JSON file OK - sherpa without items - 	9717360
	1432-0932	7977	JSON file OK - 	9301980
	1421-9921	9002	JSON file OK - 	0174752
	1873-7560		JSON file OK - sherpa without items - 	7512719
	2405-4569	35774	JSON file OK - 	101665661
	2588-9311	35775	JSON file OK - 	101724904
	1560-7917	30134	JSON file OK - 	100887452
	1969-6213		JSON file OK - sherpa without items - 	101251040
	1532-2092	1341	JSON file OK - 	100883649
	1552-3918	9147	JSON file OK - 	7805992
	1873-7870		JSON file OK - sherpa without items - 	7801727
	1552-3926	9148	JSON file OK - 	8004942
	1476-5446	1640	JSON file OK - 	100883603
	1468-960X	1854	JSON file OK - 	100883413
	1468-9618	10366	JSON file OK - 	9815947
	1530-4396		JSON file OK - sherpa without items - 	101082681
	1520-6505	13854	JSON file OK - 	9306331
	1530-9304	9779	JSON file OK - 	9513581
	1525-142X	14594	JSON file OK - 	100883432
	1474-7049	32141	JSON file OK - 	101219668
	1558-5646	6866	JSON file OK - 	0373224
	1077-5552		JSON file OK - sherpa without items - 	9505535
	1538-3008	4081	JSON file OK - 	0375434
	1096-4657	5263	JSON file OK - 	7603335
	1881-7122		JSON file OK - sherpa without items - 	9604830
	1572-9702	11791	JSON file OK - 	8507436
	1535-3699	11942	JSON file OK - 	100973463
	1432-1106	7981	JSON file OK - 	0043312
	1090-2422		JSON file OK - sherpa without items - 	0373226
	1439-3646	10795	JSON file OK - 	9505926
	1936-2293	22201	JSON file OK - 	9419066
	2146-8427		JSON file OK - sherpa without items - 	101207333
	1600-0625	11866	JSON file OK - 	9301549
	1096-0007		JSON file OK - sherpa without items - 	0370707
	1873-6815		JSON file OK - sherpa without items - 	0047061
	1873-2399		JSON file OK - sherpa without items - 	0402313
	1521-0499	840	JSON file OK - 	8004944
	2092-6413	24222	JSON file OK - 	9607880
	1096-0945		JSON file OK - sherpa without items - 	0370711
	1090-2430		JSON file OK - sherpa without items - 	0370712
	1812-9269		JSON file OK - sherpa without items - 	101230541
	1090-2449		JSON file OK - sherpa without items - 	0370713
	1469-445X	6867	JSON file OK - 	9002940
	2190-5142	8447	JSON file OK - 	101138477
	2504-3692		JSON file OK - sherpa without items - 	101738007
	1744-7682	841	JSON file OK - 	101125414
