NlmUniqueID	BroadJournalHeading	sherpa_id_x	sherpa_has_oa_path	embargo	sherpa_id_y	embargo_published_version	embargo_accepted_version	sherpa_oa_green	sherpa_id	additional_oa_fee	sherpa_oa_hybrid	DOAJ_Seal	DOAJ
0211526	Chemistry												
8305825	Chemistry Techniques, Analytical												
0211627	Biophysics												
0211627	Chemistry												
0211627	Physics												
101620182	Chemistry Techniques, Analytical	29901.0	yes	0.0	29901.0	0.0	0.0	yes	29901.0	yes	hybrid or gold		
8403252	Chemistry Techniques, Analytical												
0211630	Biophysics												
0211630	Chemistry												
101609037	Chemistry Techniques, Analytical	29902.0	yes	0.0	29902.0	0.0	0.0	yes	29902.0	yes	hybrid or gold		
8305826	Chemistry Techniques, Analytical												
101620313	Chemistry Techniques, Analytical	29903.0	yes	0.0	29903.0	0.0	0.0	yes	29903.0	yes	hybrid or gold		
9305878	Chemistry Techniques, Analytical												
101620319	Chemistry Techniques, Analytical	26674.0	yes	0.0	26674.0	0.0	0.0	yes	26674.0	yes	hybrid or gold		
101226117	Chemistry Techniques, Analytical												
0370307	Cell Biology	19886.0	yes	0.0	19886.0		0.0	yes	19886.0	yes	hybrid or gold		
0370310	Dermatology	13690.0	yes	0.0	13690.0	0.0		yes				No	yes
0370310	Sexually Transmitted Diseases	13690.0	yes	0.0	13690.0	0.0		yes				No	yes
0370311	Dermatology												
0370311	Sexually Transmitted Diseases												
9422563	Dermatology												
9422563	Sexually Transmitted Diseases												
9433781	Dermatology												
9200299	Endocrinology	11754.0	yes	12.0	11754.0		12.0	yes	11754.0	yes	hybrid or gold		
0123567	Endocrinology												
0236000	Embryology												
0235532	Anatomy												
8108943	Embryology												
0370312	Endocrinology												
0370313	Endocrinology												
1300660	Reproductive Medicine												
0414075	Gastroenterology												
0261505	Gastroenterology												
0370314	Genetics, Medical												
0200600	Genetics												
7501996	Geriatrics												
0370317	Gynecology												
0147664	Gynecology												
0147664	Obstetrics												
