NlmUniqueID	sherpa_id	additional_oa_fee	oa_status
8510246	13071	yes	hybrid or gold
2984690R	41835	yes	hybrid or gold
0361512	15673	yes	hybrid or gold
0372347	310	yes	hybrid or gold
0324055	11939	yes	hybrid or gold
8406611	15674	yes	hybrid or gold
9107334	7835	yes	hybrid or gold
0404024	763	yes	hybrid or gold
0416661	83	yes	hybrid or gold
7708044	24910	yes	hybrid or gold
7506858	7600	yes	hybrid or gold
7707449	7599	yes	hybrid or gold
8913398	13072	yes	hybrid or gold
8105511	8976	yes	hybrid or gold
9007735	314	yes	hybrid or gold
0407300	41638	yes	hybrid or gold
8106337	10413	yes	hybrid or gold
7805336	32795	yes	hybrid or gold
7506860	14929	yes	hybrid or gold
0372355	1663	yes	hybrid or gold
0372361	4933	yes	hybrid or gold
0372354	8719	yes	hybrid or gold
9420840	15678	yes	hybrid or gold
8703941	10584	yes	hybrid or gold
101698454	36551	yes	hybrid or gold
7809992	8706	yes	hybrid or gold
0372377	277	yes	hybrid or gold
9709920	4937	yes	hybrid or gold
101265649	1969	yes	hybrid or gold
9100823	8720	yes	hybrid or gold
101462262	32037	yes	hybrid or gold
0315061	6213	yes	hybrid or gold
100888899	148	yes	hybrid or gold
0372625	17059	yes	hybrid or gold
9212242	4938	yes	hybrid or gold
101086634	3767	yes	hybrid or gold
0372403	11122	yes	hybrid or gold
8803400	7605	yes	hybrid or gold
9712129	17060	yes	hybrid or gold
8208561	11763	yes	hybrid or gold
101537732	13327	yes	hybrid or gold
7605801	6214	yes	hybrid or gold
101150314	28046	yes	hybrid or gold
100888796	8721	yes	hybrid or gold
8406612	7841	yes	hybrid or gold
101584082	37808	yes	hybrid or gold
101584990	21627	yes	hybrid or gold
8901557	4730	yes	hybrid or gold
101264333	10122	yes	hybrid or gold
101502957	3617	yes	hybrid or gold
9712383	11770	yes	hybrid or gold
9306253	12443	yes	hybrid or gold
0372406	13350	yes	hybrid or gold
8500246	15852	yes	hybrid or gold
101298363	13734	yes	hybrid or gold
101222433	4954	yes	hybrid or gold
0372430	11269	yes	hybrid or gold
101465655	10418	yes	hybrid or gold
9004255	1336	yes	hybrid or gold
8000462	7851	yes	hybrid or gold
0372434	1664	yes	hybrid or gold
101220684	36895	yes	hybrid or gold
9501297	36672	yes	hybrid or gold
0357245	11811	yes	hybrid or gold
101282564	33104	yes	hybrid or gold
8710213	7852	yes	hybrid or gold
8501752	13817	yes	hybrid or gold
0410427	7853	yes	hybrid or gold
9011043	7854	yes	hybrid or gold
101318988	11812	yes	hybrid or gold
0330167	1323	yes	hybrid or gold
8000036	11813	yes	hybrid or gold
9510153	765	yes	hybrid or gold
1273516	11814	yes	hybrid or gold
9504451	4956	yes	hybrid or gold
0417615	7855	yes	hybrid or gold
7506870	11816	yes	hybrid or gold
9815663	11817	yes	hybrid or gold
9505803	4070	yes	hybrid or gold
101518086	18515	yes	hybrid or gold
101623795	27273	yes	hybrid or gold
8915031	12586	yes	hybrid or gold
9433814	9771	yes	hybrid or gold
7802778	14540	yes	hybrid or gold
101476585	4960	yes	hybrid or gold
9204109	8725	yes	hybrid or gold
101241430	87	yes	hybrid or gold
8708538	6432	yes	hybrid or gold
101506757	88	yes	hybrid or gold
9503417	6425	yes	hybrid or gold
101506753	851	yes	hybrid or gold
101151468	149	yes	hybrid or gold
9431219	6436	yes	hybrid or gold
8917250	4976	yes	hybrid or gold
101088083	150	yes	hybrid or gold
9312707	4734	yes	hybrid or gold
100901315	4980	yes	hybrid or gold
101495384	27540	yes	hybrid or gold
9606930	8977	yes	hybrid or gold
8504574	767	yes	hybrid or gold
9207852	16732	yes	hybrid or gold
0370612	4746	yes	hybrid or gold
100888004	4748	yes	hybrid or gold
8214381	7667	yes	hybrid or gold
101123037	7671	yes	hybrid or gold
9305903	3741	yes	hybrid or gold
0001027	3771	yes	hybrid or gold
0111052	22297	yes	hybrid or gold
15420200R	6789	yes	hybrid or gold
0370616	6790	yes	hybrid or gold
101727782	35727	yes	hybrid or gold
9808874	4720	yes	hybrid or gold
0135232	4719	yes	hybrid or gold
9613603	22296	yes	hybrid or gold
9713494	6430	yes	hybrid or gold
101461858	230	yes	hybrid or gold
101128967	15165	yes	hybrid or gold
101265188	12082	yes	hybrid or gold
8210638	4996	yes	hybrid or gold
101208422	3762	yes	hybrid or gold
0360342	7863	yes	hybrid or gold
9418292	1420	yes	hybrid or gold
0251711	16375	yes	hybrid or gold
8804264	15284	yes	hybrid or gold
7803043	6431	yes	hybrid or gold
8302411	3406	yes	hybrid or gold
9013016	8726	yes	hybrid or gold
7703854	16065	yes	hybrid or gold
101244316	13117	yes	hybrid or gold
0372477	16735	yes	hybrid or gold
8404861	464	yes	hybrid or gold
101149327	5000	yes	hybrid or gold
101507616	10358	yes	hybrid or gold
7909914	1328	yes	hybrid or gold
101631218	30190	yes	hybrid or gold
101512484	14575	yes	hybrid or gold
8606068	10123	yes	hybrid or gold
0126611	16117	yes	hybrid or gold
2984726R	15028	yes	hybrid or gold
100970605	875	yes	hybrid or gold
7506897	15030	yes	hybrid or gold
0370623	7766	yes	hybrid or gold
9806362	12436	yes	hybrid or gold
9010319	7767	yes	hybrid or gold
9100834	16120	yes	hybrid or gold
101500303	5005	yes	hybrid or gold
9705305	18253	yes	hybrid or gold
8008281	13818	yes	hybrid or gold
8510851	14547	yes	hybrid or gold
8704792	132	yes	hybrid or gold
101521964	11316	yes	hybrid or gold
8807441	3620	yes	hybrid or gold
9200331	5006	yes	hybrid or gold
100930043	16123	yes	hybrid or gold
9808944	242	yes	hybrid or gold
101292902	11251	yes	hybrid or gold
101275679	27543	yes	hybrid or gold
101544020	11144	yes	hybrid or gold
8108529	21747	yes	hybrid or gold
9700112	390	yes	hybrid or gold
7502533	7866	yes	hybrid or gold
101738236	38648	yes	hybrid or gold
101247722	11597	yes	hybrid or gold
0375566	15493	yes	hybrid or gold
0207224	13577	yes	hybrid or gold
9815758	6433	yes	hybrid or gold
0414576	6829	yes	hybrid or gold
7911509	15646	yes	hybrid or gold
7708048	1510	yes	hybrid or gold
100892849	7768	yes	hybrid or gold
101312535	12291	yes	hybrid or gold
9606000	773	yes	hybrid or gold
9918383886206676	41584	yes	hybrid or gold
101593571	35575	yes	hybrid or gold
101135325	7868	yes	hybrid or gold
8610241	3707	yes	hybrid or gold
