NlmUniqueID	BroadJournalHeading	
101231512	Orthopedics	
2985165R	Orthopedics	
0370352	Orthopedics	
0370353	Orthopedics	
101244827	Orthopedics	
9424806	Orthopedics	
9424806	Traumatology	
101190312	Orthopedics	
0370354	Otolaryngology	
0370355	Otolaryngology	
0373057	Otolaryngology	
8213019	Otolaryngology	
7610363	Otolaryngology	
14540260R	Otolaryngology	
101770938	Otolaryngology	
9205968	Pediatrics	
0372634	Pediatrics	
0372635	Pediatrics	
8307729	Pediatrics	
0370357	Pediatrics	
0000211	Pediatrics	
0173166	Pediatrics	
9315043	Pediatrics	
100958202	Pediatrics	
0400661	Psychiatry	
9301947	Parasitology	
0372637	Pathology	
8206622	Pathology	
8206623	Microbiology	
8206624	Allergy and Immunology	
8211441	Allergy and Immunology	
8211441	Microbiology	
8211441	Pathology	
7508471	Microbiology	
7508471	Pathology	
7508468	Pathology	
7508472	Microbiology	
7508470	Allergy and Immunology	
7508470	Microbiology	
7508469	Allergy and Immunology	
8211440	Microbiology	
8211440	Pathology	
9303678	Pharmacology	
0414322	Pharmacology	
8915967	Pharmacy	
0000216	Pharmacy	
100956087	Pharmacology	
0370572	Pharmacology	
0370572	Toxicology	
101262545	Physiology	
0371156	Physiology	
8309201	Physiology	
0060610	Physiology	
7512568	Pharmacology	
7512568	Physiology	
8409686	Pharmacology	
8409686	Physiology	
14610130R	Pharmacology	
9200300	Pharmacology	
9200300	Physiology	
9200300	Therapeutics	
2985166R	Physiology	
0370362	Physiology	
0376307	Physiology	
2985167R	Pharmacology	
0373060	Psychiatry	
0373060	Psychology	
0247037	Psychiatry	
0370364	Psychiatry	
0370365	Psychiatry	
0370366	Psychology	
8706123	Radiology	
0370367	Radiology	
8209606	Biology	
8209606	Biophysics	
8209606	Neoplasms	
8209606	Radiology	
8209606	Radiotherapy	
7805897	Biology	
7805897	Biophysics	
7805897	Neoplasms	
7805897	Physics	
7805897	Radiology	
101470759	Biology	
101470759	Biophysics	
101470759	Neoplasms	
101470759	Physics	
101470759	Radiotherapy	
0370370	Radiology	
101470699	Radiology	
0000201	Biology	
0000201	Nuclear Medicine	
0000201	Physics	
0000201	Radiology	
0431702	Rheumatology	
0321403	Rheumatology	
7908064	Rheumatology	
7903226	Rheumatology	
7611898	Medicine	
101295615	Nutritional Sciences	
0332127	Medicine	
2985168R	Epidemiology	
2985168R	Social Sciences	
0414076	Epidemiology	
0414076	Social Sciences	
0421026	Dentistry	
0253456	Dentistry	
0314001	Biology	
0314001	Reproductive Medicine	
0314001	Veterinary Medicine	
0370374	Tropical Medicine	
7611896	Tropical Medicine	
0157725	Pulmonary Medicine	
0370376	Pulmonary Medicine	
0064362	Medicine	
2985169R	Medicine	
0177667	Medicine	
0363112	Medicine	
0377045	Urology	
14620020R	Reproductive Medicine	
14620020R	Veterinary Medicine	
0370377	Veterinary Medicine	
8406376	Veterinary Medicine	
0370400	Veterinary Medicine	
0061331	Veterinary Medicine	
0370401	Virology	
0134541	Metabolism	
0134541	Pharmacology	
0135063	Metabolism	
0100314	Biology	
0100314	Pathology	
0373062	Dermatology	
0373062	Sexually Transmitted Diseases	
101777537	Dermatology	
101777537	Sexually Transmitted Diseases	
100886502	Psychiatry	
0355646	Medicine	
0355573	Neurology	
0355573	Psychiatry	
7704993	Urology	
101771154	Urology	
0143027	Cardiology	
0370405	Endocrinology	
0264367	Gastroenterology	
7513548	Neurology	
7513548	Physiology	
9614683	Dentistry	
0370406	Dentistry	
0370407	Pharmacology	
7611901	Anatomy	
7611901	Physiology	
7610364	Complementary Therapies	
9304117	Complementary Therapies	
101276603	Cardiology	
8412026	Health Services	
101553725	Medicine	
8704179	Nursing	
8701671	Physiology	
8701671	Sports Medicine	
7603486	Behavioral Sciences	
7603486	Substance-Related Disorders	
9604935	Substance-Related Disorders	
0425064	Substance-Related Disorders	
101316917	Substance-Related Disorders	
9304118	Substance-Related Disorders	
9605506	Substance-Related Disorders	
101567863	Cell Biology	
101567863	Metabolism	
101567863	Physiology	
0370411	Dentistry	
8712346	Dentistry	
0361564	Health Services	
0361564	Psychiatry	
8914574	Health Services	
8914574	Psychology	
9702245	Radiology	
8812074	Hospitals	
9006270	Pediatrics	
101196463	Pediatrics	
101314248	Pediatrics	
1302147	Pediatrics	
1302147	Psychiatry	
0123667	Pediatrics	
8107172	Substance-Related Disorders	
0407712	Anatomy	
0407712	Cell Biology	
0407712	Embryology	
9435676	Anatomy	
9435676	Pathology	
8409340	Anesthesiology	
0370413	Microbiology	
1304163	Psychology	
1304163	Reproductive Medicine	
8307733	Biochemistry	
8307733	Biotechnology	
0211233	Biochemistry	
0211233	Psychopharmacology	
101775319	Biomedical Engineering	
101775319	Biotechnology	
0370414	Biophysics	
0370414	Physics	
101572336	Biochemistry	
101572336	Molecular Biology	
0426664	Dermatology	
0426664	Sexually Transmitted Diseases	
7611904	Biomedical Engineering	
7611904	Biophysics	
7611904	Physics	
0262476	Biophysics	
0225721	Biology	
0225721	Reproductive Medicine	
101711718	Biomedical Engineering	
101711718	Biotechnology	
8305187	Biotechnology	
0370416	Neoplasms	
0240537	Biochemistry	
0240537	Chemistry	
0240537	Metabolism	
9007186	Cardiology	
9007186	General Surgery	
0270063	Cardiology	
0235424	Anatomy	
0235424	Biochemistry	
0236562	Medicine	
0370417	Behavioral Sciences	
0370417	Pediatrics	
0121020	Chemistry Techniques, Analytical	
101209214	Nephrology	
8912856	Nursing	
2985173R	Chemistry, Clinical	
101138582	Medicine	
9709997	Pathology	
0430232	Pharmacology	
8809051	Physical and Rehabilitation Medicine	
8706645	Chemistry	
0370422	Biochemistry	
0370422	Physiology	
8607435	Family Planning Services	
8404639	Biochemistry	
0341362	Biochemistry	
1301733	Pharmacology	
7703830	Statistics as Topic	
7703830	Vital Statistics	
8802131	Dentistry	
8606032	Dermatology	
8710523	Drug Therapy	
8710523	Pharmacology	
0040021	Pharmacology	
101285075	Emergency Medicine	
101285075	Nursing	
9102501	Endocrinology	
9102501	Metabolism	
0044263	Biochemistry	
