NlmUniqueID	Title	MedlineTA	Country	Place	Publisher	PublicationFirstYear	PublicationEndYear	Frequency	ISSN-Electronic	ISSN-Print	ISSN-Linking	Language	TitleContinuationYN	IndexingStartDate	CurrentlyIndexedYN	IndexOnlineYN	IndexingSubset	IndexingSelectedURL	ReportedMedlineYN	ISSN	sherpa_oa	embargo	sherpa_oa_green	additional_oa_fee	sherpa_oa_hybrid	title_sherpa	issne_sherpa	issnp_sherpa	url	publisher_id	publisher_country	publisher_type	publisher_url	publisher_name	sherpa_id	sherpa_uri	ISSN_old_x	DOAJ_pissn	ISSN_old_y	DOAJ_title	DOAJ_eissn	DOAJ_Seal	DOAJ_date	DOAJ_year	DOAJ	year_founded	year_reverse_flipped	journal_location	society_affiliation	other_sci_affiliation	flipped_journal_name	post_flip_publisher	flipped_access_model	apc_pre	apc_post	apc_now	discipline	flipped_oa	flipped_born_oa	flipped_embargo	Reverse_Flip	not_oa_not_hybrid
2985165R	Acta orthopaedica Belgica	Acta Orthop Belg	Belgium	Bruxelles	Acta Medica Belgica	1946		Five no. a year,		0001-6462	0001-6462	fre	N	1965.0	Y	Y	IM	http://www.actaorthopaedica.be	Y	0001-6462																																										yes
101244827	Acta orthopaedica. Supplementum	Acta Orthop Suppl	Sweden	[Stockholm]	Taylor & Francis	2005		Bimonthly	1745-3704	1745-3690	1745-3690	eng	Y	2005.0	Y	Y	IM	http://www.tandfonline.com/loi/iort20	Y	1745-3704																																										yes
9424806	Acta orthopaedica et traumatologica turcica	Acta Orthop Traumatol Turc	Turkey	[Ankara, Turkey]	Turkish Association of Orthopaedics and Traumatology with publishing services by AVES	1962		Bimonthly,	2589-1294	1017-995X	1017-995X	eng	N	2002.0	Y	Y	IM	http://www.aott.org.tr/index.php/aott/issue/archive	Y	2589-1294																																										yes
101190312	Acta ortopédica mexicana	Acta Ortop Mex	Mexico	México, D.F.	Sociedad Mexicana de Ortopedia	2002		Bimonthly		2306-4102	2306-4102	spa	N	2007.0	Y	N	IM		Y	2306-4102																																										yes
0370355	Acta oto-laryngologica. Supplementum	Acta Otolaryngol Suppl	Norway	Oslo	Scandinavian University Press	1920		Irregular		0365-5237	0365-5237	eng	N	1969.0	Y	Y	IM	http://informahealthcare.com/loi/oto	Y	0365-5237																																										yes
8213019	Acta otorhinolaryngologica Italica : organo ufficiale della Società italiana di otorinolaringologia e chirurgia cervico-facciale	Acta Otorhinolaryngol Ital	Italy	[Pisa	Pacini editore	1981		Six no. a year	1827-675X	0392-100X	0392-100X	eng	N	1981.0	Y	Y	IM	http://preview.ncbi.nlm.nih.gov/pmc/journals/559/	Y	1827-675X																																										yes
0370365	Acta psychiatrica Scandinavica. Supplementum	Acta Psychiatr Scand Suppl	Denmark	Malden, MA	Wiley-Blackwell	1961		Irregular	1600-5473	0065-1591	0065-1591	eng	N	1965.0	Y	Y	IM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0447	Y	1600-5473																																										yes
0431702	Acta reumatológica portuguesa	Acta Reumatol Port	Portugal	Lisboa	Sociedade Portuguesa de Reumatologia.	1973		Six no. a year,		0303-464X	0303-464X	eng	N	2006.0	Y	Y	IM	http://www.actareumatologica.com/arquivo	Y	0303-464X																																										yes
101295615	Acta scientiarum polonorum. Technologia alimentaria	Acta Sci Pol Technol Aliment	Poland	Poznań	Wydawnictwo Uniwersytetu Przyrodniczego w Poznaniu	2002		Four issues a year,	1898-9594	1644-0730	1644-0730	eng	N	2011.0	Y	Y	IM	http://www.food.actapol.net/en/main	Y	1898-9594																																										yes
0370401	Acta virologica	Acta Virol	Slovakia	Bratislava, Slovak Republic	AEPress, Ltd	1957		Quarterly,	1336-2305	0001-723X	0001-723X	eng	N	1965.0	Y	N	IM		Y	1336-2305																																										yes
